;name;id;wikidataId;firstAuthor;numOfCoAuthors;title;subtitle;normalizedGenre;digitalSource;originalSourcePublisher;originalSourcePubPlace;originalSourceYear;originalSourceNumberOfPages;yearNormalized;size;libretto;averageClustering;density;averagePathLength;maxDegreeIds;averageDegree;diameter;yearPremiered;yearPrinted;maxDegree;numOfSpeakers;numOfSpeakersFemale;numOfSpeakersMale;numOfSpeakersUnknown;numPersonGroups;numConnectedComponents;numEdges;yearWritten;numOfSegments;wikipediaLinkCount;numOfActs;wordCountText;wordCountSp;wordCountStage;numOfP;numOfL;firstAuthorFirstname;firstAuthorGender;BDSL_autortitel;BDSL_autor
523;stavenhagen-mudder-mews;ger000168;Q13188682;Stavenhagen;0;Mudder Mews;Niederdeutsches Drama in 5 Akten;;http://www.textgridrep.org/textgrid:vrcn.0;;;;;1904;8;False;0.9107142857142856;0.8928571428571429;11.071.428.571.428.500;several characters;Jun 25;2;1905;1904.0;7;8;3;4;1;;1;25;1903;5;1;5;21644;21272;5040;887;80;Fritz;male;0;5
524;stephanie-der-schauspieldirektor;ger000033;Q471810;Stephanie;0;Der Schauspieldirektor;Ein Gelegenheitsstück in einem Aufzuge;;http://www.textgridrep.org/textgrid:vrdc.0;;;;;1786;10;False;1.0;1.0;1.0;several characters;9.0;1;1786;;9;10;5;5;0;;1;45;;10;24;0;7730;7631;471;336;83;Johann;male;0;4
525;stephanie-die-entfuehrung-aus-dem-serail;ger000381;Q210711;Stephanie;0;Die Entführung aus dem Serail;Ein Singspiel in drey Aufzügen;;http://www.textgridrep.org/textgrid:vrdk.0;;;;;1782;9;True;0.746031746031746;0.6111111111111112;12.142.857.142.857.100;pedrillo;4.888.888.888.888.880;2;1782;;7;9;2;7;0;;2;22;;28;37;3;9670;9308;1032;287;482;Johann;male;1;4
526;stephanie-die-liebe-im-narrenhause;ger000133;Q52882712;Stephanie;0;Die Liebe im Narrenhause;Eine komische Oper in zwey Aufzügen;;http://www.textgridrep.org/textgrid:vrds.0;;;;;1787;11;True;1.0;1.0;1.0;several characters;10.0;1;1787;;10;11;4;7;0;;1;55;;41;0;2;14944;14417;2020;394;806;Johann;male;0;4
527;stephanie-doktor-und-apotheker;ger000344;Q1235105;Stephanie;0;Doktor und Apotheker;Komische Oper in zwei Aufzügen;;http://www.textgridrep.org/textgrid:vrdj.0;;;;;1786;10;True;0.8777777777777779;0.8222222222222222;11.777.777.777.777.700;krautmann;07. Apr;2;1786;;9;10;3;7;0;;1;37;;45;6;2;19328;18428;3929;421;1183;Johann;male;0;4
528;sternheim-der-snob;ger000493;Q1196902;Sternheim;0;Der Snob;Komödie in drei Aufzügen;Comedy;https://www.gutenberg.org/ebooks/60089;;;;;1914;8;False;0.6607142857142857;0.4642857142857143;15.357.142.857.142.800;christian;Mär 25;2;1914;1914.0;7;8;4;4;0;;1;13;;20;1;3;12297;12138;1000;723;0;Carl;male;14;148
529;stramm-erwachen;ger000563;Q107611479;Stramm;0;Erwachen;;;http://www.textgridrep.org/textgrid:w3x0.0;;;;;1914;15;False;1.0;1.0;1.0;several characters;14.0;1;1921;1914.0;14;15;5;8;2;;1;105;;1;0;0;4275;3348;2358;237;0;August;male;0;78
530;sturz-julie;ger000066;Q52883292;Sturz;0;Julie;Ein Trauerspiel in fünf Aufzügen;Tragedy;http://www.textgridrep.org/textgrid:w3zd.0;;;;;1767;10;False;0.6290476190476191;0.4888888888888889;01. Jun;wohlau;04. Apr;3;;1767.0;7;10;3;7;0;;1;22;;49;0;5;15186;14792;604;372;0;Helfrich;unknown;0;6
531;sudermann-der-bettler-von-syrakus;ger000461;Q52883502;Sudermann;0;Der Bettler von Syrakus;Tragödie in fünf Akten und einem Vorspiel;Tragedy;http://www.textgridrep.org/textgrid:w40m.0;;;;;1911;66;False;0.8167835703438168;0.179020979020979;21.771.561.771.561.700;der_blinde;11.636.363.636.363.600;5;1911;1911.0;43;66;11;52;3;;1;384;;50;0;5;24340;23086;3426;0;3276;Hermann;male;0;68
532;sudermann-die-ehre;ger000107;Q25217734;Sudermann;0;Die Ehre;Schauspiel in vier Akten;;http://www.textgridrep.org/textgrid:w40n.0;;;;;1889;15;False;0.8122751322751324;0.5714285714285714;14.761.904.761.904.700;muehlingk|robert;8.0;3;1889;1889.0;12;15;6;9;0;;1;60;;52;1;4;24385;23645;3202;1350;0;Hermann;male;9;68
